ID,Year,M,D,H,1,2
0130-001,2011,01,28,04,149,170
0130-001,2011,01,28,05,171,222
0130-001,2011,01,28,06,260,290
0130-001,2011,01,28,07,546,631
0130-001,2011,01,28,08,1454,1536
0130-001,2011,01,28,09,1749,2109
0130-001,2011,01,28,10,1553,1727
0130-001,2011,01,28,11,1549,1517
0130-001,2011,01,28,12,1672,1533
0130-001,2011,01,28,13,1541,1264
0130-001,2011,01,28,14,1701,1465
0130-001,2011,01,28,15,1747,1550
0130-001,2011,01,28,16,1617,1267
0130-001,2011,01,28,17,1635,1337
0130-001,2011,01,28,18,1539,1206
0130-001,2011,01,28,19,1522,1215
0130-001,2011,01,28,20,1362,1091
0130-001,2011,01,28,21,1230,812
0130-001,2011,01,28,22,1007,621
0130-001,2011,01,28,23,764,516
0130-001,2011,01,28,24,631,689
0130-001,2011,01,29,01,418,624
0130-001,2011,01,29,02,262,401
0130-001,2011,01,29,03,203,390
0130-001,2011,01,29,04,199,225
0130-001,2011,01,29,05,213,249
0130-001,2011,01,29,06,250,261
0130-001,2011,01,29,07,457,496
0130-001,2011,01,29,08,945,1033
0130-001,2011,01,29,09,1311,1278
0130-001,2011,01,29,10,1341,1006
0130-001,2011,01,29,11,1507,1347
0130-001,2011,01,29,12,1620,1435
0130-001,2011,01,29,13,1531,1172
0130-001,2011,01,29,14,1524,1342
0130-001,2011,01,29,15,1492,1272
0130-001,2011,01,29,16,1479,1739
0130-001,2011,01,29,17,1450,1001
0130-001,2011,01,29,18,1542,1234
0130-001,2011,01,29,19,1413,1257
0130-001,2011,01,29,20,1061,927
0130-001,2011,01,29,21,934,789
0130-001,2011,01,29,22,846,752
0130-001,2011,01,29,23,651,574
0130-001,2011,01,29,24,484,446
0130-001,2011,01,30,01,315,293
0130-001,2011,01,30,02,248,223
0130-001,2011,01,30,03,163,169
0130-001,2011,01,30,04,175,150
0130-001,2011,01,30,05,155,148
0130-001,2011,01,30,06,176,162
0130-001,2011,01,30,07,280,252
0130-001,2011,01,30,08,470,411
0130-001,2011,01,30,09,729,675
0130-001,2011,01,30,10,813,790
0130-001,2011,01,30,11,1032,915
0130-001,2011,01,30,12,990,729
0130-001,2011,01,30,13,1195,831
0130-001,2011,01,30,14,1364,957
0130-001,2011,01,30,15,1304,1033
0130-001,2011,01,30,16,1277,970
0130-001,2011,01,30,17,1251,1077
0130-001,2011,01,30,18,1214,1001
0130-001,2011,01,30,19,1162,809
0130-001,2011,01,30,20,887,818
0130-001,2011,01,30,21,830,740
0130-001,2011,01,30,22,732,662
0130-001,2011,01,30,23,488,445
0130-001,2011,01,30,24,394,321
0130-001,2011,01,31,01,252,232
0130-001,2011,01,31,02,128,91
0130-001,2011,01,31,03,113,84
0130-001,2011,01,31,04,122,118
0130-001,2011,01,31,05,146,88
0130-001,2011,01,31,06,248,123
0130-001,2011,01,31,07,618,258
0130-001,2011,01,31,08,1454,627
0130-001,2011,01,31,09,1683,801
0130-001,2011,01,31,10,1461,951
0130-001,2011,01,31,11,1562,1997
0130-001,2011,01,31,12,1608,2017
0130-001,2011,01,31,13,1528,1348
0130-001,2011,01,31,14,1767,1518
