Date,Weekday,Time,Traffic
2014-02-02,1 ,13,1733
2014-02-02,1 ,14,1828
2014-02-02,1 ,15,1881
2014-02-02,1 ,16,1899
2014-02-02,1 ,17,1709
2014-02-02,1 ,18,1506
2014-02-02,1 ,19,1294
2014-02-02,1 ,20,986
2014-02-02,1 ,21,973
2014-02-02,1 ,22,652
2014-02-02,1 ,23,499
2014-02-03,2 ,0,331
2014-02-03,2 ,1,254
2014-02-03,2 ,2,146
2014-02-03,2 ,3,156
2014-02-03,2 ,4,175
2014-02-03,2 ,5,303
2014-02-03,2 ,6,617
2014-02-03,2 ,7,1405
2014-02-03,2 ,8,1695
2014-02-03,2 ,9,1498
2014-02-03,2 ,10,1669
2014-02-03,2 ,11,1643
2014-02-03,2 ,12,1677
2014-02-03,2 ,13,1867
2014-02-03,2 ,14,1963
2014-02-03,2 ,15,2062
2014-02-03,2 ,16,2092
2014-02-03,2 ,17,2085
2014-02-03,2 ,18,2325
2014-02-03,2 ,19,1733
2014-02-03,2 ,20,1182
2014-02-03,2 ,21,1061
2014-02-03,2 ,22,689
2014-02-03,2 ,23,520
2014-02-04,3 ,0,343
2014-02-04,3 ,1,290
2014-02-04,3 ,2,235
2014-02-04,3 ,3,214
2014-02-04,3 ,4,195
2014-02-04,3 ,5,310
2014-02-04,3 ,6,662
2014-02-04,3 ,7,1417
2014-02-04,3 ,8,1831
2014-02-04,3 ,9,1506
2014-02-04,3 ,10,1560
2014-02-04,3 ,11,1630
2014-02-04,3 ,12,1569
2014-02-04,3 ,13,1803
2014-02-04,3 ,14,1935
2014-02-04,3 ,15,1936
2014-02-04,3 ,16,2066
2014-02-04,3 ,17,2265
2014-02-04,3 ,18,2350
2014-02-04,3 ,19,1774
2014-02-04,3 ,20,1303
2014-02-04,3 ,21,1155
2014-02-04,3 ,22,774
2014-02-04,3 ,23,544
2014-02-05,4 ,0,392
2014-02-05,4 ,1,271
2014-02-05,4 ,2,273
2014-02-05,4 ,3,208
2014-02-05,4 ,4,176
2014-02-05,4 ,5,316
2014-02-05,4 ,6,645
2014-02-05,4 ,7,1408
2014-02-05,4 ,8,1817
2014-02-05,4 ,9,1559
2014-02-05,4 ,10,1660
2014-02-05,4 ,11,1658
2014-02-05,4 ,12,1510
2014-02-05,4 ,13,1863
2014-02-05,4 ,14,1938
2014-02-05,4 ,15,2008
2014-02-05,4 ,16,2054
2014-02-05,4 ,17,2285
2014-02-05,4 ,18,2342
2014-02-05,4 ,19,1869
2014-02-05,4 ,20,1260
2014-02-05,4 ,21,1166
2014-02-05,4 ,22,781
2014-02-05,4 ,23,603
2014-02-06,5 ,0,445
2014-02-06,5 ,1,336
2014-02-06,5 ,2,262
2014-02-06,5 ,3,203
2014-02-06,5 ,4,204
2014-02-06,5 ,5,330
2014-02-06,5 ,6,623
2014-02-06,5 ,7,1408
2014-02-06,5 ,8,1803
2014-02-06,5 ,9,1667
2014-02-06,5 ,10,1753
2014-02-06,5 ,11,1651
2014-02-06,5 ,12,1691
2014-02-06,5 ,13,2070
2014-02-06,5 ,14,2033
2014-02-06,5 ,15,2088
2014-02-06,5 ,16,2193
2014-02-06,5 ,17,2350
2014-02-06,5 ,18,2285
2014-02-06,5 ,19,1879
2014-02-06,5 ,20,1310
2014-02-06,5 ,21,1296
2014-02-06,5 ,22,855
2014-02-06,5 ,23,607
2014-02-07,6 ,0,462
2014-02-07,6 ,1,306
2014-02-07,6 ,2,235
2014-02-07,6 ,3,236
